18:56:15 INFO  application.ApplicationManager - Start in browser CHROME
18:56:16 INFO  TestBase - Start test loginTestDataProvider
18:56:16 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:56:19 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:56:19 INFO  application.MyListener - Start finde element by --> By.xpath: //*[.='LOGIN']
18:56:19 INFO  application.MyListener - The element By.xpath: //*[.='LOGIN'] was found
18:56:19 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Email']
18:56:19 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Email'] was found
18:56:19 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Email']
18:56:19 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Email'] was found
18:56:20 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Password']
18:56:20 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Password'] was found
18:56:20 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Password']
18:56:20 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Password'] was found
18:56:20 INFO  TestBase - Login with Email: 12345@asd.com; Password: aA1234567$;
18:56:20 INFO  application.MyListener - Start finde element by --> By.xpath: //button[text()=' Login']
18:56:20 INFO  application.MyListener - The element By.xpath: //button[text()=' Login'] was found
18:56:20 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:56:21 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:56:21 INFO  TestBase - Test passed
18:56:21 INFO  TestBase - End of test loginTestDataProvider
18:56:21 INFO  TestBase - Start test loginTestDataProvider
18:56:21 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:56:21 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:56:21 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:56:21 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:56:21 INFO  application.MyListener - Start finde element by --> By.xpath: //*[.='LOGIN']
18:56:21 INFO  application.MyListener - The element By.xpath: //*[.='LOGIN'] was found
18:56:21 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Email']
18:56:21 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Email'] was found
18:56:21 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Email']
18:56:21 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Email'] was found
18:56:21 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Password']
18:56:21 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Password'] was found
18:56:21 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Password']
18:56:21 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Password'] was found
18:56:21 INFO  TestBase - Login with Email: noa@gmail.com; Password: Nnoa12345$;
18:56:21 INFO  application.MyListener - Start finde element by --> By.xpath: //button[text()=' Login']
18:56:21 INFO  application.MyListener - The element By.xpath: //button[text()=' Login'] was found
18:56:21 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:56:21 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:56:21 INFO  TestBase - Test passed
18:56:21 INFO  TestBase - End of test loginTestDataProvider
18:56:21 INFO  TestBase - Start test loginTestDataProvider
18:56:21 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:56:21 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:56:21 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:56:21 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:56:22 INFO  application.MyListener - Start finde element by --> By.xpath: //*[.='LOGIN']
18:56:22 INFO  application.MyListener - The element By.xpath: //*[.='LOGIN'] was found
18:56:22 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Email']
18:56:22 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Email'] was found
18:56:22 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Email']
18:56:22 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Email'] was found
18:56:22 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Password']
18:56:22 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Password'] was found
18:56:22 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Password']
18:56:22 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Password'] was found
18:56:22 INFO  TestBase - Login with Email: sonya@gmail.com; Password: Ss12345$;
18:56:22 INFO  application.MyListener - Start finde element by --> By.xpath: //button[text()=' Login']
18:56:22 INFO  application.MyListener - The element By.xpath: //button[text()=' Login'] was found
18:56:22 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:56:22 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:56:22 INFO  TestBase - Test passed
18:56:22 INFO  TestBase - End of test loginTestDataProvider
