18:16:47 INFO  application.ApplicationManager - Start in browser CHROME
18:16:48 INFO  TestBase - Start test addContactTest
18:16:48 INFO  TestBase - Test start with data: [erty, erty, 3456, dghhgf, dfghgfh, dgfhfgh]
18:16:48 INFO  TestBase - =================================================================================
18:16:48 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:16:51 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:16:51 INFO  application.MyListener - Start finde element by --> By.xpath: //*[.='LOGIN']
18:16:51 INFO  application.MyListener - The element By.xpath: //*[.='LOGIN'] was found
18:16:52 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Email']
18:16:52 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Email'] was found
18:16:52 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Email']
18:16:52 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Email'] was found
18:16:52 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Password']
18:16:52 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Password'] was found
18:16:52 INFO  application.MyListener - Start finde element by --> By.xpath: //input[@placeholder='Password']
18:16:52 INFO  application.MyListener - The element By.xpath: //input[@placeholder='Password'] was found
18:16:52 INFO  application.MyListener - Start finde element by --> By.xpath: //button[text()=' Login']
18:16:52 INFO  application.MyListener - The element By.xpath: //button[text()=' Login'] was found
18:16:53 INFO  application.MyListener - Start finde element by --> By.xpath: //a[.='ADD']
18:16:53 INFO  application.MyListener - The element By.xpath: //a[.='ADD'] was found
18:16:53 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Name']
18:16:53 INFO  application.MyListener - The element By.cssSelector: [placeholder='Name'] was found
18:16:53 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Name']
18:16:53 INFO  application.MyListener - The element By.cssSelector: [placeholder='Name'] was found
18:16:53 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Last Name']
18:16:54 INFO  application.MyListener - The element By.cssSelector: [placeholder='Last Name'] was found
18:16:54 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Last Name']
18:16:54 INFO  application.MyListener - The element By.cssSelector: [placeholder='Last Name'] was found
18:16:54 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Phone']
18:16:54 INFO  application.MyListener - The element By.cssSelector: [placeholder='Phone'] was found
18:16:54 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Phone']
18:16:54 INFO  application.MyListener - The element By.cssSelector: [placeholder='Phone'] was found
18:16:54 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='email']
18:16:54 INFO  application.MyListener - The element By.cssSelector: [placeholder='email'] was found
18:16:54 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='email']
18:16:54 INFO  application.MyListener - The element By.cssSelector: [placeholder='email'] was found
18:16:54 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Address']
18:16:54 INFO  application.MyListener - The element By.cssSelector: [placeholder='Address'] was found
18:16:54 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Address']
18:16:54 INFO  application.MyListener - The element By.cssSelector: [placeholder='Address'] was found
18:16:54 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='description']
18:16:54 INFO  application.MyListener - The element By.cssSelector: [placeholder='description'] was found
18:16:54 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='description']
18:16:54 INFO  application.MyListener - The element By.cssSelector: [placeholder='description'] was found
18:16:55 INFO  application.MyListener - Start finde element by --> By.xpath: //button/b
18:16:55 INFO  application.MyListener - The element By.xpath: //button/b was found
18:16:55 INFO  application.MyListener - Start finde element by --> By.cssSelector: div[class^='contact-page']
18:16:55 INFO  application.MyListener - The element By.cssSelector: div[class^='contact-page'] was found
18:16:55 INFO  application.MyListener - Start finde element by --> By.xpath: //h3
18:16:55 INFO  application.MyListener - The element By.xpath: //h3 was found
18:16:55 INFO  TestBase - End of test addContactTest
18:16:55 INFO  TestBase - Start test addContactTest
18:16:55 INFO  TestBase - Test start with data: [ertyasdf, asdfasdf, 3452346, dghasdfhgf, dfghasdfgfh, dgfdfghfgh]
18:16:55 INFO  TestBase - =================================================================================
18:16:55 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:16:56 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:16:56 INFO  application.MyListener - Start finde element by --> By.xpath: //a[.='ADD']
18:16:56 INFO  application.MyListener - The element By.xpath: //a[.='ADD'] was found
18:16:56 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Name']
18:16:56 INFO  application.MyListener - The element By.cssSelector: [placeholder='Name'] was found
18:16:56 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Name']
18:16:56 INFO  application.MyListener - The element By.cssSelector: [placeholder='Name'] was found
18:16:56 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Last Name']
18:16:56 INFO  application.MyListener - The element By.cssSelector: [placeholder='Last Name'] was found
18:16:56 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Last Name']
18:16:56 INFO  application.MyListener - The element By.cssSelector: [placeholder='Last Name'] was found
18:16:56 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Phone']
18:16:56 INFO  application.MyListener - The element By.cssSelector: [placeholder='Phone'] was found
18:16:56 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Phone']
18:16:56 INFO  application.MyListener - The element By.cssSelector: [placeholder='Phone'] was found
18:16:56 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='email']
18:16:56 INFO  application.MyListener - The element By.cssSelector: [placeholder='email'] was found
18:16:56 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='email']
18:16:56 INFO  application.MyListener - The element By.cssSelector: [placeholder='email'] was found
18:16:57 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Address']
18:16:57 INFO  application.MyListener - The element By.cssSelector: [placeholder='Address'] was found
18:16:57 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Address']
18:16:57 INFO  application.MyListener - The element By.cssSelector: [placeholder='Address'] was found
18:16:57 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='description']
18:16:57 INFO  application.MyListener - The element By.cssSelector: [placeholder='description'] was found
18:16:57 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='description']
18:16:57 INFO  application.MyListener - The element By.cssSelector: [placeholder='description'] was found
18:16:57 INFO  application.MyListener - Start finde element by --> By.xpath: //button/b
18:16:57 INFO  application.MyListener - The element By.xpath: //button/b was found
18:16:57 INFO  application.MyListener - Start finde element by --> By.cssSelector: div[class^='contact-page']
18:16:57 INFO  application.MyListener - The element By.cssSelector: div[class^='contact-page'] was found
18:16:57 INFO  application.MyListener - Start finde element by --> By.xpath: //h3
18:16:57 INFO  application.MyListener - The element By.xpath: //h3 was found
18:16:58 INFO  TestBase - End of test addContactTest
18:16:58 INFO  TestBase - Start test addContactTest
18:16:58 INFO  TestBase - Test start with data: [ertrgherty, eghfdgh, 345236, ghfnb, yuoiui, dgfhftyutyugh]
18:16:58 INFO  TestBase - =================================================================================
18:16:58 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:16:58 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:16:58 INFO  application.MyListener - Start finde element by --> By.xpath: //a[.='ADD']
18:16:58 INFO  application.MyListener - The element By.xpath: //a[.='ADD'] was found
18:16:58 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Name']
18:16:58 INFO  application.MyListener - The element By.cssSelector: [placeholder='Name'] was found
18:16:58 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Name']
18:16:58 INFO  application.MyListener - The element By.cssSelector: [placeholder='Name'] was found
18:16:58 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Last Name']
18:16:58 INFO  application.MyListener - The element By.cssSelector: [placeholder='Last Name'] was found
18:16:58 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Last Name']
18:16:58 INFO  application.MyListener - The element By.cssSelector: [placeholder='Last Name'] was found
18:16:58 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Phone']
18:16:58 INFO  application.MyListener - The element By.cssSelector: [placeholder='Phone'] was found
18:16:58 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Phone']
18:16:58 INFO  application.MyListener - The element By.cssSelector: [placeholder='Phone'] was found
18:16:58 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='email']
18:16:58 INFO  application.MyListener - The element By.cssSelector: [placeholder='email'] was found
18:16:58 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='email']
18:16:58 INFO  application.MyListener - The element By.cssSelector: [placeholder='email'] was found
18:16:59 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Address']
18:16:59 INFO  application.MyListener - The element By.cssSelector: [placeholder='Address'] was found
18:16:59 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Address']
18:16:59 INFO  application.MyListener - The element By.cssSelector: [placeholder='Address'] was found
18:16:59 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='description']
18:16:59 INFO  application.MyListener - The element By.cssSelector: [placeholder='description'] was found
18:16:59 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='description']
18:16:59 INFO  application.MyListener - The element By.cssSelector: [placeholder='description'] was found
18:16:59 INFO  application.MyListener - Start finde element by --> By.xpath: //button/b
18:16:59 INFO  application.MyListener - The element By.xpath: //button/b was found
18:16:59 INFO  application.MyListener - Start finde element by --> By.cssSelector: div[class^='contact-page']
18:17:00 INFO  application.MyListener - The element By.cssSelector: div[class^='contact-page'] was found
18:17:00 INFO  application.MyListener - Start finde element by --> By.xpath: //h3
18:17:00 INFO  application.MyListener - The element By.xpath: //h3 was found
18:17:00 INFO  TestBase - End of test addContactTest
18:17:00 INFO  TestBase - Start test addContactTest
18:17:00 INFO  TestBase - Test start with data: [cxvb, tryjtrj, 6789, dghsdghsgdhgf, dfghggfhdfghfh, dgfdfghdfhfgh]
18:17:00 INFO  TestBase - =================================================================================
18:17:00 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:17:00 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:17:00 INFO  application.MyListener - Start finde element by --> By.xpath: //a[.='ADD']
18:17:00 INFO  application.MyListener - The element By.xpath: //a[.='ADD'] was found
18:17:00 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Name']
18:17:00 INFO  application.MyListener - The element By.cssSelector: [placeholder='Name'] was found
18:17:00 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Name']
18:17:00 INFO  application.MyListener - The element By.cssSelector: [placeholder='Name'] was found
18:17:00 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Last Name']
18:17:00 INFO  application.MyListener - The element By.cssSelector: [placeholder='Last Name'] was found
18:17:00 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Last Name']
18:17:00 INFO  application.MyListener - The element By.cssSelector: [placeholder='Last Name'] was found
18:17:00 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Phone']
18:17:00 INFO  application.MyListener - The element By.cssSelector: [placeholder='Phone'] was found
18:17:00 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Phone']
18:17:01 INFO  application.MyListener - The element By.cssSelector: [placeholder='Phone'] was found
18:17:01 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='email']
18:17:01 INFO  application.MyListener - The element By.cssSelector: [placeholder='email'] was found
18:17:01 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='email']
18:17:01 INFO  application.MyListener - The element By.cssSelector: [placeholder='email'] was found
18:17:01 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Address']
18:17:01 INFO  application.MyListener - The element By.cssSelector: [placeholder='Address'] was found
18:17:01 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Address']
18:17:01 INFO  application.MyListener - The element By.cssSelector: [placeholder='Address'] was found
18:17:01 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='description']
18:17:01 INFO  application.MyListener - The element By.cssSelector: [placeholder='description'] was found
18:17:01 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='description']
18:17:01 INFO  application.MyListener - The element By.cssSelector: [placeholder='description'] was found
18:17:01 INFO  application.MyListener - Start finde element by --> By.xpath: //button/b
18:17:01 INFO  application.MyListener - The element By.xpath: //button/b was found
18:17:01 INFO  application.MyListener - Start finde element by --> By.cssSelector: div[class^='contact-page']
18:17:02 INFO  application.MyListener - The element By.cssSelector: div[class^='contact-page'] was found
18:17:02 INFO  application.MyListener - Start finde element by --> By.xpath: //h3
18:17:02 INFO  application.MyListener - The element By.xpath: //h3 was found
18:17:02 INFO  TestBase - End of test addContactTest
18:17:02 INFO  TestBase - Start test addContactTestBase
18:17:02 INFO  TestBase - Test start with data: []
18:17:02 INFO  TestBase - =================================================================================
18:17:02 INFO  application.MyListener - Start finde element by --> By.xpath: //button[.='Sign Out']
18:17:02 INFO  application.MyListener - The element By.xpath: //button[.='Sign Out'] was found
18:17:02 INFO  application.MyListener - Start finde element by --> By.xpath: //a[.='ADD']
18:17:02 INFO  application.MyListener - The element By.xpath: //a[.='ADD'] was found
18:17:02 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Name']
18:17:02 INFO  application.MyListener - The element By.cssSelector: [placeholder='Name'] was found
18:17:02 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Name']
18:17:02 INFO  application.MyListener - The element By.cssSelector: [placeholder='Name'] was found
18:17:02 INFO  application.MyListener - Start finde element by --> By.cssSelector: [placeholder='Last Name']
